,date,utm_source,utm_medium,utm_campaign,cost
0,2023-03-01,google,cpc,advanced_algorithms_series,212
1,2023-03-02,google,cpc,advanced_algorithms_series,252
2,2023-03-03,google,cpc,advanced_algorithms_series,202
3,2023-03-04,google,cpc,advanced_algorithms_series,223
4,2023-03-05,google,cpc,advanced_algorithms_series,265
5,2023-03-06,google,cpc,advanced_algorithms_series,108
6,2023-03-07,google,cpc,advanced_algorithms_series,165
7,2023-03-08,google,cpc,advanced_algorithms_series,155
8,2023-03-09,google,cpc,advanced_algorithms_series,124
9,2023-03-10,google,cpc,advanced_algorithms_series,276
10,2023-03-11,google,cpc,advanced_algorithms_series,105
11,2023-03-12,google,cpc,advanced_algorithms_series,239
12,2023-03-13,google,cpc,advanced_algorithms_series,283
13,2023-03-14,google,cpc,advanced_algorithms_series,100
14,2023-03-15,google,cpc,advanced_algorithms_series,115
15,2023-03-25,yandex,cpc,virtual_reality_workshop,293
16,2023-03-26,yandex,cpc,virtual_reality_workshop,298
17,2023-03-27,yandex,cpc,virtual_reality_workshop,121
18,2023-03-28,yandex,cpc,virtual_reality_workshop,203
19,2023-03-29,yandex,cpc,virtual_reality_workshop,246
20,2023-03-30,yandex,cpc,virtual_reality_workshop,215
21,2023-03-31,yandex,cpc,virtual_reality_workshop,121
22,2023-04-01,yandex,cpc,virtual_reality_workshop,166
23,2023-04-02,yandex,cpc,virtual_reality_workshop,215
24,2023-04-03,yandex,cpc,virtual_reality_workshop,268
25,2023-04-04,yandex,cpc,virtual_reality_workshop,252
26,2023-04-05,yandex,cpc,virtual_reality_workshop,287
27,2023-04-06,yandex,cpc,virtual_reality_workshop,178
28,2023-04-07,yandex,cpc,virtual_reality_workshop,118
29,2023-04-08,yandex,cpc,virtual_reality_workshop,260
30,2023-04-09,yandex,cpc,virtual_reality_workshop,224
31,2023-04-10,yandex,cpc,virtual_reality_workshop,216
32,2023-04-11,yandex,cpc,virtual_reality_workshop,263
33,2023-04-12,yandex,cpc,virtual_reality_workshop,164
34,2023-04-13,yandex,cpc,virtual_reality_workshop,132
35,2023-04-14,yandex,cpc,virtual_reality_workshop,245
36,2023-04-15,yandex,cpc,virtual_reality_workshop,278
37,2023-04-16,yandex,cpc,virtual_reality_workshop,251
38,2023-04-17,yandex,cpc,virtual_reality_workshop,166
39,2023-04-18,yandex,cpc,virtual_reality_workshop,289
40,2023-04-19,yandex,cpc,virtual_reality_workshop,167
41,2023-04-20,yandex,cpc,virtual_reality_workshop,177
42,2023-04-21,yandex,cpc,virtual_reality_workshop,121
43,2023-04-22,yandex,cpc,virtual_reality_workshop,143
44,2023-04-23,yandex,cpc,virtual_reality_workshop,287
45,2023-04-24,yandex,cpc,virtual_reality_workshop,201
46,2023-04-25,yandex,cpc,virtual_reality_workshop,182
47,2023-04-26,yandex,cpc,virtual_reality_workshop,108
48,2023-04-27,yandex,cpc,virtual_reality_workshop,233
49,2023-04-28,yandex,cpc,virtual_reality_workshop,135
50,2023-04-29,yandex,cpc,virtual_reality_workshop,135
51,2023-04-30,yandex,cpc,virtual_reality_workshop,276
52,2023-05-01,yandex,cpc,virtual_reality_workshop,217
53,2023-05-02,yandex,cpc,virtual_reality_workshop,176
54,2023-05-03,yandex,cpc,virtual_reality_workshop,271
55,2023-05-04,yandex,cpc,virtual_reality_workshop,269
56,2023-05-05,yandex,cpc,virtual_reality_workshop,270
57,2023-05-06,yandex,cpc,virtual_reality_workshop,194
58,2023-05-19,google,cpc,ui_ux_design_drive,178
59,2023-05-20,google,cpc,ui_ux_design_drive,137
60,2023-05-21,google,cpc,ui_ux_design_drive,260
61,2023-05-22,google,cpc,ui_ux_design_drive,144
62,2023-05-23,google,cpc,ui_ux_design_drive,245
63,2023-05-24,google,cpc,ui_ux_design_drive,265
64,2023-05-25,google,cpc,ui_ux_design_drive,242
65,2023-05-26,google,cpc,ui_ux_design_drive,298
66,2023-05-27,google,cpc,ui_ux_design_drive,245
67,2023-05-28,google,cpc,ui_ux_design_drive,287
68,2023-05-29,google,cpc,ui_ux_design_drive,184
69,2023-05-30,google,cpc,ui_ux_design_drive,176
70,2023-05-31,google,cpc,ui_ux_design_drive,150
71,2023-06-01,google,cpc,ui_ux_design_drive,145
72,2023-06-02,google,cpc,ui_ux_design_drive,118
73,2023-06-03,google,cpc,ui_ux_design_drive,161
74,2023-06-04,google,cpc,ui_ux_design_drive,261
75,2023-06-05,google,cpc,ui_ux_design_drive,143
76,2023-06-06,google,cpc,ui_ux_design_drive,141
77,2023-06-07,google,cpc,ui_ux_design_drive,118
78,2023-06-08,google,cpc,ui_ux_design_drive,145
79,2023-06-09,google,cpc,ui_ux_design_drive,166
80,2023-06-21,google,cpc,women_in_tech_symposium,174
81,2023-06-22,google,cpc,women_in_tech_symposium,105
82,2023-06-23,google,cpc,women_in_tech_symposium,114
83,2023-06-24,google,cpc,women_in_tech_symposium,109
84,2023-06-25,google,cpc,women_in_tech_symposium,143
85,2023-06-26,google,cpc,women_in_tech_symposium,289
86,2023-06-27,google,cpc,women_in_tech_symposium,227
87,2023-06-28,google,cpc,women_in_tech_symposium,117
88,2023-06-29,google,cpc,women_in_tech_symposium,193
89,2023-06-30,google,cpc,women_in_tech_symposium,102
90,2023-07-01,google,cpc,women_in_tech_symposium,200
91,2023-07-02,google,cpc,women_in_tech_symposium,178
92,2023-07-03,google,cpc,women_in_tech_symposium,268
93,2023-07-04,google,cpc,women_in_tech_symposium,266
94,2023-07-05,google,cpc,women_in_tech_symposium,261
95,2023-07-06,google,cpc,women_in_tech_symposium,252
96,2023-07-07,google,cpc,women_in_tech_symposium,243
97,2023-07-08,google,cpc,women_in_tech_symposium,171
98,2023-07-09,google,cpc,women_in_tech_symposium,197
99,2023-07-10,google,cpc,women_in_tech_symposium,235
100,2023-07-11,google,cpc,women_in_tech_symposium,277
101,2023-07-12,google,cpc,women_in_tech_symposium,285
102,2023-07-13,google,cpc,women_in_tech_symposium,171
103,2023-07-14,google,cpc,women_in_tech_symposium,157
104,2023-07-15,google,cpc,women_in_tech_symposium,103
105,2023-07-16,google,cpc,women_in_tech_symposium,118
106,2023-07-17,google,cpc,women_in_tech_symposium,159
107,2023-07-18,google,cpc,women_in_tech_symposium,167
108,2023-07-19,google,cpc,women_in_tech_symposium,157
109,2023-07-20,google,cpc,women_in_tech_symposium,155
110,2023-07-21,google,cpc,women_in_tech_symposium,131
111,2023-07-22,google,cpc,women_in_tech_symposium,261
112,2023-07-23,google,cpc,women_in_tech_symposium,200
113,2023-07-24,google,cpc,women_in_tech_symposium,217
114,2023-07-25,google,cpc,women_in_tech_symposium,265
115,2023-07-26,google,cpc,women_in_tech_symposium,113
116,2023-08-06,vk,social,intro_to_python_course,224
117,2023-08-07,vk,social,intro_to_python_course,120
118,2023-08-08,vk,social,intro_to_python_course,111
119,2023-08-09,vk,social,intro_to_python_course,149
120,2023-08-10,vk,social,intro_to_python_course,157
121,2023-08-11,vk,social,intro_to_python_course,187
122,2023-08-12,vk,social,intro_to_python_course,120
123,2023-08-13,vk,social,intro_to_python_course,250
124,2023-08-14,vk,social,intro_to_python_course,297
125,2023-08-15,vk,social,intro_to_python_course,276
126,2023-08-16,vk,social,intro_to_python_course,108
127,2023-08-17,vk,social,intro_to_python_course,271
128,2023-08-18,vk,social,intro_to_python_course,169
129,2023-08-19,vk,social,intro_to_python_course,196
130,2023-08-20,vk,social,intro_to_python_course,272
131,2023-08-21,vk,social,intro_to_python_course,137
132,2023-08-22,vk,social,intro_to_python_course,173
133,2023-08-23,vk,social,intro_to_python_course,101
134,2023-08-24,vk,social,intro_to_python_course,105
135,2023-08-25,vk,social,intro_to_python_course,206
136,2023-08-26,vk,social,intro_to_python_course,102
137,2023-08-27,vk,social,intro_to_python_course,222
138,2023-08-28,vk,social,intro_to_python_course,223
139,2023-08-29,vk,social,intro_to_python_course,190
140,2023-08-30,vk,social,intro_to_python_course,109
141,2023-08-31,vk,social,intro_to_python_course,215
142,2023-09-01,vk,social,intro_to_python_course,220
143,2023-09-02,vk,social,intro_to_python_course,136
144,2023-09-03,vk,social,intro_to_python_course,113
145,2023-09-04,vk,social,intro_to_python_course,188
146,2023-09-05,vk,social,intro_to_python_course,269
147,2023-09-06,vk,social,intro_to_python_course,237
148,2023-09-07,vk,social,intro_to_python_course,252
149,2023-09-08,vk,social,intro_to_python_course,173
150,2023-09-09,vk,social,intro_to_python_course,130
151,2023-09-10,vk,social,intro_to_python_course,261
152,2023-09-11,vk,social,intro_to_python_course,276
153,2023-09-12,vk,social,intro_to_python_course,168
154,2023-09-13,vk,social,intro_to_python_course,277
155,2023-09-14,vk,social,intro_to_python_course,221
156,2023-09-15,vk,social,intro_to_python_course,175
157,2023-09-16,vk,social,intro_to_python_course,224
158,2023-09-17,vk,social,intro_to_python_course,125
